market_cap_cr,div_yield,roce,roe,pb,revenue_cagr_3y,ticker,pe
41814.0,0.0,28.5,20.8,15.18,0.2362,ANTHEM,83.2
15365.0,0.24,6.32,6.03,2.68,0.0671,AARTIIND,41.4
7057.0,0.29,57.3,52.1,,,BLUEJET,50.1
138637.0,0.0,9.58,12.9,3.82,,TATACAP,31.3
35325.0,0.73,10.7,8.26,7.79,0.1422,ASTERDM,98.0
28353.0,2.02,4.91,5.81,1.95,0.0637,SJVN,44.8
17058.0,0.45,16.1,10.8,4.54,0.0259,CARBORUNIV,70.6
11355.0,0.34,11.4,16.5,2.82,,HOMEFIRST,22.9
23421.0,0.2,4.77,1.42,3.1,0.0262,RAMCOCEM,125.0
14643.0,0.06,7.33,3.32,4.58,0.1166,ANURAS,85.1
52937.0,0.84,24.9,20.3,8.42,0.035,BERGEPAINT,47.2
